main_compounds_id,main_receptors_id,responsive,data_quality,sample_weight
665,103,1,ec50,1.0
665,47,0,ec50,1.0
665,727,0,ec50,1.0
665,7,1,ec50,1.0
494,1124,0,ec50,1.0
494,1137,0,ec50,1.0
494,1125,0,ec50,1.0
494,1149,0,ec50,1.0
494,284,0,ec50,1.0
494,1145,0,ec50,1.0
494,1114,0,ec50,1.0
494,591,0,ec50,1.0
494,1123,0,ec50,1.0
494,51,0,ec50,1.0
494,1147,0,ec50,1.0
494,1134,0,ec50,1.0
494,1146,0,ec50,1.0
494,1117,0,ec50,1.0
494,1136,0,ec50,1.0
494,1128,0,ec50,1.0
494,1112,0,ec50,1.0
494,1116,1,ec50,1.0
494,1129,0,ec50,1.0
494,1139,1,ec50,1.0
494,447,0,ec50,1.0
494,1143,0,ec50,1.0
494,1144,0,ec50,1.0
494,88,0,ec50,1.0
494,1110,0,ec50,1.0
494,1133,0,ec50,1.0
494,1141,1,ec50,1.0
494,1155,0,ec50,1.0
494,1107,0,ec50,1.0
494,25,0,ec50,1.0
494,1151,0,ec50,1.0
494,1127,0,ec50,1.0
494,1156,1,ec50,1.0
494,1118,0,ec50,1.0
494,1113,0,ec50,1.0
494,1157,0,ec50,1.0
494,1148,0,ec50,1.0
494,1138,0,ec50,1.0
494,323,0,ec50,1.0
494,1152,0,ec50,1.0
494,1142,0,ec50,1.0
494,1140,1,ec50,1.0
494,1126,0,ec50,1.0
494,29,0,ec50,1.0
494,1115,0,ec50,1.0
494,1111,0,ec50,1.0
494,1121,0,ec50,1.0
494,1131,0,ec50,1.0
494,1132,0,ec50,1.0
494,168,0,ec50,1.0
494,1135,0,ec50,1.0
494,1158,0,ec50,1.0
494,1119,0,ec50,1.0
494,1154,0,ec50,1.0
494,2,0,ec50,1.0
494,1130,0,ec50,1.0
494,1153,0,ec50,1.0
494,1150,0,ec50,1.0
494,962,0,ec50,1.0
494,1122,0,ec50,1.0
494,1120,0,ec50,1.0
494,1109,1,ec50,1.0
629,168,0,ec50,1.0
678,283,1,ec50,1.0
213,3,1,ec50,1.0
213,7,1,ec50,1.0
212,3,1,ec50,1.0
212,7,1,ec50,1.0
316,51,1,ec50,1.0
316,449,1,ec50,1.0
316,539,0,ec50,1.0
110,483,0,ec50,1.0
164,1124,0,ec50,1.0
164,1137,0,ec50,1.0
164,1125,0,ec50,1.0
164,1149,0,ec50,1.0
164,284,0,ec50,1.0
164,1145,0,ec50,1.0
164,1114,0,ec50,1.0
164,591,0,ec50,1.0
164,1123,0,ec50,1.0
164,51,0,ec50,1.0
164,1147,0,ec50,1.0
164,1134,0,ec50,1.0
164,1146,0,ec50,1.0
164,1117,0,ec50,1.0
164,1136,0,ec50,1.0
164,1128,0,ec50,1.0
164,1112,0,ec50,1.0
164,1116,0,ec50,1.0
164,1129,0,ec50,1.0
164,1139,0,ec50,1.0
164,447,0,ec50,1.0
164,1143,0,ec50,1.0
164,1144,0,ec50,1.0
164,88,0,ec50,1.0
164,1110,0,ec50,1.0
164,1133,0,ec50,1.0
164,1141,0,ec50,1.0
164,1155,0,ec50,1.0
164,1107,0,ec50,1.0
164,25,0,ec50,1.0
164,1151,0,ec50,1.0
164,1127,0,ec50,1.0
164,1156,1,ec50,1.0
164,1118,0,ec50,1.0
164,1113,0,ec50,1.0
164,1157,0,ec50,1.0
164,1148,0,ec50,1.0
164,1138,0,ec50,1.0
164,323,0,ec50,1.0
164,1152,0,ec50,1.0
164,1142,0,ec50,1.0
164,1140,0,ec50,1.0
164,1126,0,ec50,1.0
164,29,0,ec50,1.0
164,1115,0,ec50,1.0
164,1111,0,ec50,1.0
164,1121,0,ec50,1.0
164,1131,0,ec50,1.0
164,1132,0,ec50,1.0
164,168,0,ec50,1.0
164,1135,0,ec50,1.0
164,1158,0,ec50,1.0
164,1119,0,ec50,1.0
164,1154,0,ec50,1.0
164,2,0,ec50,1.0
164,1130,0,ec50,1.0
164,1153,0,ec50,1.0
164,1150,0,ec50,1.0
164,962,0,ec50,1.0
164,1122,0,ec50,1.0
164,1120,0,ec50,1.0
164,1109,0,ec50,1.0
359,449,1,ec50,1.0
359,539,1,ec50,1.0
236,51,1,ec50,1.0
336,1124,0,ec50,1.0
336,1137,0,ec50,1.0
336,1125,0,ec50,1.0
336,1149,0,ec50,1.0
336,284,0,ec50,1.0
336,1145,0,ec50,1.0
336,1114,0,ec50,1.0
336,591,0,ec50,1.0
336,1123,0,ec50,1.0
336,51,1,ec50,1.0
336,449,1,ec50,1.0
336,539,1,ec50,1.0
336,1147,0,ec50,1.0
336,1134,0,ec50,1.0
336,1146,0,ec50,1.0
336,1117,0,ec50,1.0
336,1136,0,ec50,1.0
336,1128,0,ec50,1.0
336,1112,0,ec50,1.0
336,1116,0,ec50,1.0
336,1129,0,ec50,1.0
336,1139,0,ec50,1.0
336,447,0,ec50,1.0
336,1143,0,ec50,1.0
336,1144,0,ec50,1.0
336,88,0,ec50,1.0
336,1110,0,ec50,1.0
336,1133,0,ec50,1.0
336,1141,0,ec50,1.0
336,1155,0,ec50,1.0
336,1107,0,ec50,1.0
336,25,0,ec50,1.0
336,1151,0,ec50,1.0
336,1127,0,ec50,1.0
336,1156,0,ec50,1.0
336,1118,0,ec50,1.0
336,1113,0,ec50,1.0
336,1157,0,ec50,1.0
336,1148,0,ec50,1.0
336,1138,0,ec50,1.0
336,323,0,ec50,1.0
336,1152,0,ec50,1.0
336,1142,0,ec50,1.0
336,1140,0,ec50,1.0
336,1126,0,ec50,1.0
336,29,0,ec50,1.0
336,1115,0,ec50,1.0
336,1111,0,ec50,1.0
336,1121,0,ec50,1.0
336,1131,0,ec50,1.0
336,1132,0,ec50,1.0
336,168,0,ec50,1.0
336,1135,0,ec50,1.0
336,1158,0,ec50,1.0
336,1119,0,ec50,1.0
336,1154,0,ec50,1.0
336,2,0,ec50,1.0
336,1130,0,ec50,1.0
336,1153,0,ec50,1.0
336,1150,0,ec50,1.0
336,962,0,ec50,1.0
336,1122,0,ec50,1.0
336,1120,0,ec50,1.0
336,1109,0,ec50,1.0
228,581,0,ec50,1.0
228,485,0,ec50,1.0
219,210,0,ec50,1.0
163,1124,0,ec50,1.0
163,1137,0,ec50,1.0
163,1125,0,ec50,1.0
163,1149,0,ec50,1.0
163,284,0,ec50,1.0
163,1145,0,ec50,1.0
163,1114,0,ec50,1.0
163,591,0,ec50,1.0
163,1123,0,ec50,1.0
163,51,1,ec50,1.0
163,1147,1,ec50,1.0
163,1134,0,ec50,1.0
163,1146,1,ec50,1.0
163,1117,0,ec50,1.0
163,1136,0,ec50,1.0
163,1128,0,ec50,1.0
163,1112,0,ec50,1.0
163,1116,0,ec50,1.0
163,1129,0,ec50,1.0
163,1139,0,ec50,1.0
163,447,0,ec50,1.0
163,1143,1,ec50,1.0
163,1144,0,ec50,1.0
163,88,1,ec50,1.0
163,1110,0,ec50,1.0
163,1133,0,ec50,1.0
163,1141,0,ec50,1.0
163,1155,0,ec50,1.0
163,1107,1,ec50,1.0
163,25,0,ec50,1.0
163,1151,0,ec50,1.0
163,1127,0,ec50,1.0
163,1156,1,ec50,1.0
163,1118,0,ec50,1.0
163,1113,0,ec50,1.0
163,1157,0,ec50,1.0
163,1148,0,ec50,1.0
163,1138,0,ec50,1.0
163,323,1,ec50,1.0
163,1152,0,ec50,1.0
163,1142,0,ec50,1.0
163,1140,0,ec50,1.0
163,1126,0,ec50,1.0
163,29,1,ec50,1.0
163,1115,0,ec50,1.0
163,1111,0,ec50,1.0
163,1121,0,ec50,1.0
163,1131,0,ec50,1.0
163,1132,0,ec50,1.0
163,168,0,ec50,1.0
163,1135,0,ec50,1.0
163,1158,0,ec50,1.0
163,1119,0,ec50,1.0
163,1154,0,ec50,1.0
163,2,0,ec50,1.0
163,1130,0,ec50,1.0
163,1153,0,ec50,1.0
163,1150,0,ec50,1.0
163,962,0,ec50,1.0
163,1122,0,ec50,1.0
163,1120,0,ec50,1.0
163,1109,0,ec50,1.0
220,210,0,ec50,1.0
199,382,0,ec50,1.0
112,436,1,ec50,1.0
112,51,1,ec50,1.0
112,543,1,ec50,1.0
112,181,1,ec50,1.0
112,544,0,ec50,1.0
112,381,1,ec50,1.0
112,338,0,ec50,1.0
112,431,0,ec50,1.0
112,368,0,ec50,1.0
112,323,1,ec50,1.0
112,324,1,ec50,1.0
112,57,1,ec50,1.0
112,325,1,ec50,1.0
112,364,0,ec50,1.0
394,29,1,ec50,1.0
736,283,1,ec50,1.0
128,283,1,ec50,1.0
128,51,1,ec50,1.0
128,449,1,ec50,1.0
128,539,1,ec50,1.0
598,1237,0,ec50,1.0
598,1239,1,ec50,1.0
598,1238,1,ec50,1.0
598,1243,0,ec50,1.0
598,1240,0,ec50,1.0
598,1241,1,ec50,1.0
598,1242,0,ec50,1.0
598,1051,1,ec50,1.0
732,283,1,ec50,1.0
393,29,1,ec50,1.0
81,1124,0,ec50,1.0
81,1137,0,ec50,1.0
81,1125,0,ec50,1.0
81,1149,0,ec50,1.0
81,284,0,ec50,1.0
81,1145,0,ec50,1.0
81,1114,0,ec50,1.0
81,591,0,ec50,1.0
81,1123,0,ec50,1.0
81,51,1,ec50,1.0
81,1147,1,ec50,1.0
81,575,0,ec50,1.0
81,214,0,ec50,1.0
81,1134,0,ec50,1.0
81,1146,1,ec50,1.0
81,1117,0,ec50,1.0
81,1136,0,ec50,1.0
81,1128,0,ec50,1.0
81,1112,0,ec50,1.0
81,1116,0,ec50,1.0
81,1129,0,ec50,1.0
81,1139,0,ec50,1.0
81,447,0,ec50,1.0
81,1143,0,ec50,1.0
81,1144,0,ec50,1.0
81,88,0,ec50,1.0
81,1110,0,ec50,1.0
81,1133,0,ec50,1.0
81,1141,0,ec50,1.0
81,1155,0,ec50,1.0
81,1107,1,ec50,1.0
81,25,0,ec50,1.0
81,1151,0,ec50,1.0
81,1127,0,ec50,1.0
81,1156,0,ec50,1.0
81,1118,0,ec50,1.0
81,1113,0,ec50,1.0
81,1157,0,ec50,1.0
81,1148,0,ec50,1.0
81,1138,0,ec50,1.0
81,323,0,ec50,1.0
81,1152,0,ec50,1.0
81,1142,0,ec50,1.0
81,1140,0,ec50,1.0
81,1126,0,ec50,1.0
81,29,1,ec50,1.0
81,1115,0,ec50,1.0
81,1111,0,ec50,1.0
81,1121,0,ec50,1.0
81,1131,0,ec50,1.0
81,1132,0,ec50,1.0
81,168,0,ec50,1.0
81,1135,0,ec50,1.0
81,1158,0,ec50,1.0
81,1119,0,ec50,1.0
81,1154,0,ec50,1.0
81,2,0,ec50,1.0
81,1130,0,ec50,1.0
81,1153,0,ec50,1.0
81,1150,0,ec50,1.0
81,962,0,ec50,1.0
81,1122,0,ec50,1.0
81,1120,0,ec50,1.0
81,1109,0,ec50,1.0
66,353,1,ec50,1.0
